userId,PID,Recommend_Val,材质,重量,类型,产品名称
0,pId4,0.739403486251831,金,40.0,饰品,D
0,pId5,0.739403486251831,银,50.0,饰品,E
1,pId4,0.1310616284608841,金,40.0,饰品,D
1,pId5,0.6746329069137573,银,50.0,饰品,E
2,pId3,0.2919735908508301,金,30.0,饰品,C
2,pId6,0.22323749959468842,银,60.0,投资,F
3,pId2,0.8985595703125,金,20.0,饰品,B
3,pId7,0.6045721769332886,银,70.0,投资,G
4,pId9,0.9094967246055603,,,信用卡,I
5,pId9,0.9601433277130127,,,信用卡,I
6,pId9,0.9726516008377075,,,信用卡,I
7,pId9,0.9669740796089172,,,信用卡,I
8,pId9,0.9783349633216858,,,信用卡,I
9,pId1,0.9783349633216858,金,10.0,饰品,A
9,pId8,0.9783349633216858,银,80.0,投资,H
