date,net,sum,price
2018/2/22 0:00,1.532,1.558,183.84
2018/2/23 0:00,1.529,1.555,183.48
2018/2/26 0:00,1.554,1.58,186.48
2018/2/27 0:00,1.55,1.576,186
2018/2/28 0:00,1.547,1.573,185.64
2018/3/1 0:00,1.565,1.591,187.8
2018/3/2 0:00,1.547,1.573,185.64
2018/3/5 0:00,1.549,1.575,185.88
2018/3/6 0:00,1.564,1.59,187.68
2018/3/7 0:00,1.55,1.576,186
2018/3/8 0:00,1.559,1.585,187.08
2018/3/9 0:00,1.577,1.603,189.24
2018/3/12 0:00,1.589,1.615,190.68
2018/3/13 0:00,1.572,1.598,188.64
2018/3/14 0:00,1.561,1.587,187.32
2018/3/15 0:00,1.566,1.592,187.92
2018/3/16 0:00,1.553,1.579,186.36
2018/3/19 0:00,1.559,1.585,187.08
2018/3/20 0:00,1.576,1.602,189.12
2018/3/21 0:00,1.561,1.587,187.32
2018/3/22 0:00,1.553,1.579,186.36
2018/3/23 0:00,1.516,1.542,181.92
2018/3/26 0:00,1.536,1.562,184.32
2018/3/27 0:00,1.563,1.589,187.56
2018/3/28 0:00,1.545,1.571,185.4
2018/3/29 0:00,1.553,1.579,186.36
2018/3/30 0:00,1.571,1.597,188.52
2018/4/2 0:00,1.578,1.604,189.36
2018/4/3 0:00,1.572,1.598,188.64
2018/4/4 0:00,1.564,1.59,187.68
2018/4/9 0:00,1.568,1.594,188.16
2018/4/10 0:00,1.573,1.599,188.76
2018/4/11 0:00,1.574,1.6,188.88
2018/4/12 0:00,1.57,1.596,188.4
2018/4/13 0:00,1.567,1.593,188.04
2018/4/16 0:00,1.563,1.589,187.56
2018/4/17 0:00,1.539,1.565,184.68
2018/4/18 0:00,1.551,1.577,186.12
2018/4/19 0:00,1.557,1.583,186.84
2018/4/20 0:00,1.537,1.563,184.44
2018/4/23 0:00,1.522,1.548,182.64
2018/4/24 0:00,1.55,1.576,186
2018/4/25 0:00,1.559,1.585,187.08
2018/4/26 0:00,1.545,1.571,185.4
2018/4/27 0:00,1.559,1.585,187.08
2018/5/2 0:00,1.559,1.585,187.08
2018/5/3 0:00,1.563,1.589,187.56
2018/5/4 0:00,1.564,1.59,187.68
2018/5/7 0:00,1.585,1.611,190.2
2018/5/8 0:00,1.583,1.609,189.96
2018/5/9 0:00,1.58,1.606,189.6
2018/5/10 0:00,1.583,1.609,189.96
2018/5/11 0:00,1.569,1.595,188.28
2018/5/14 0:00,1.574,1.6,188.88
2018/5/15 0:00,1.578,1.604,189.36
2018/5/16 0:00,1.575,1.601,189
2018/5/17 0:00,1.563,1.589,187.56
2018/5/18 0:00,1.576,1.602,189.12
2018/5/21 0:00,1.58,1.606,189.6
2018/5/22 0:00,1.582,1.608,189.84
2018/5/23 0:00,1.573,1.599,188.76
2018/5/24 0:00,1.566,1.592,187.92
2018/5/25 0:00,1.559,1.585,187.08
2018/5/28 0:00,1.554,1.58,186.48
2018/5/29 0:00,1.537,1.563,184.44
2018/5/30 0:00,1.51,1.536,181.2
2018/5/31 0:00,1.53,1.556,183.6
2018/6/1 0:00,1.513,1.539,181.56
2018/6/4 0:00,1.512,1.538,181.44
2018/6/5 0:00,1.535,1.561,184.2
2018/6/6 0:00,1.538,1.564,184.56
2018/6/7 0:00,1.527,1.553,183.24
2018/6/8 0:00,1.524,1.55,182.88
2018/6/11 0:00,1.522,1.548,182.64
2018/6/12 0:00,1.53,1.556,183.6
2018/6/13 0:00,1.515,1.541,181.8
2018/6/14 0:00,1.51,1.536,181.2
2018/6/15 0:00,1.496,1.522,179.52
2018/6/19 0:00,1.447,1.473,173.64
2018/6/20 0:00,1.468,1.494,176.16
2018/6/21 0:00,1.453,1.479,174.36
2018/6/22 0:00,1.474,1.5,176.88
2018/6/25 0:00,1.469,1.495,176.28
2018/6/26 0:00,1.472,1.498,176.64
2018/6/27 0:00,1.458,1.484,174.96
2018/6/28 0:00,1.447,1.473,173.64
2018/6/29 0:00,1.482,1.508,177.84
2018/7/2 0:00,1.475,1.501,177
2018/7/3 0:00,1.48,1.506,177.6
2018/7/4 0:00,1.462,1.488,175.44
2018/7/5 0:00,1.439,1.465,172.68
2018/7/6 0:00,1.438,1.464,172.56
2018/7/9 0:00,1.461,1.487,175.32
2018/7/10 0:00,1.474,1.5,176.88
2018/7/12 0:00,1.49,1.516,178.8
2018/7/13 0:00,1.5,1.526,180
2018/7/16 0:00,1.476,1.502,177.12
2018/7/17 0:00,1.476,1.502,177.12
2018/7/18 0:00,1.465,1.491,175.8
2018/7/19 0:00,1.464,1.49,175.68
2018/7/20 0:00,1.475,1.501,177
2018/7/23 0:00,1.457,1.483,174.84
2018/7/24 0:00,1.473,1.499,176.76
2018/7/25 0:00,1.469,1.495,176.28
2018/7/26 0:00,1.449,1.475,173.88
2018/7/27 0:00,1.448,1.474,173.76
2018/7/30 0:00,1.432,1.458,171.84
2018/7/31 0:00,1.426,1.452,171.12
2018/8/1 0:00,1.408,1.434,168.96
2018/8/2 0:00,1.398,1.424,167.76
2018/8/3 0:00,1.388,1.414,166.56
2018/8/6 0:00,1.372,1.398,164.64
2018/8/7 0:00,1.387,1.413,166.44
2018/8/8 0:00,1.369,1.395,164.28
2018/8/9 0:00,1.389,1.415,166.68
2018/8/10 0:00,1.396,1.422,167.52
2018/8/13 0:00,1.396,1.422,167.52
2018/8/14 0:00,1.392,1.418,167.04
2018/8/15 0:00,1.377,1.403,165.24
2018/8/16 0:00,1.37,1.396,164.4
2018/8/17 0:00,1.351,1.377,162.12
2018/8/20 0:00,1.353,1.379,162.36
2018/8/21 0:00,1.365,1.391,163.8
2018/8/22 0:00,1.357,1.383,162.84
2018/8/23 0:00,1.354,1.38,162.48
2018/8/24 0:00,1.357,1.383,162.84
2018/8/27 0:00,1.38,1.406,165.6
2018/8/28 0:00,1.377,1.403,165.24
2018/8/29 0:00,1.376,1.402,165.12
2018/8/30 0:00,1.372,1.398,164.64
2018/8/31 0:00,1.364,1.39,163.68
2018/9/3 0:00,1.363,1.389,163.56
2018/9/4 0:00,1.37,1.396,164.4
2018/9/5 0:00,1.353,1.379,162.36
2018/9/6 0:00,1.344,1.37,161.28
2018/9/7 0:00,1.35,1.376,162
2018/9/10 0:00,1.337,1.363,160.44
2018/9/11 0:00,1.334,1.36,160.08
2018/9/12 0:00,1.325,1.351,159
2018/9/13 0:00,1.328,1.354,159.36
2018/9/14 0:00,1.321,1.347,158.52
2018/9/17 0:00,1.305,1.331,156.6
2018/9/18 0:00,1.321,1.347,158.52
2018/9/19 0:00,1.337,1.363,160.44
2018/9/20 0:00,1.34,1.366,160.8
2018/9/21 0:00,1.348,1.374,161.76
2018/9/25 0:00,1.345,1.371,161.4
2018/9/26 0:00,1.354,1.38,162.48
2018/9/27 0:00,1.347,1.373,161.64
2018/9/28 0:00,1.36,1.386,163.2
2018/10/8 0:00,1.327,1.353,159.24
2018/10/9 0:00,1.328,1.354,159.36
2018/10/10 0:00,1.328,1.354,159.36
2018/10/11 0:00,1.303,1.329,156.36
2018/10/12 0:00,1.308,1.334,156.96
2018/10/15 0:00,1.296,1.322,155.52
2018/10/16 0:00,1.284,1.31,154.08
2018/10/17 0:00,1.284,1.31,154.08
2018/10/18 0:00,1.269,1.295,152.28
2018/10/19 0:00,1.281,1.307,153.72
2018/10/22 0:00,1.31,1.336,157.2
2018/10/23 0:00,1.3,1.326,156
2018/10/24 0:00,1.302,1.328,156.24
2018/10/25 0:00,1.302,1.328,156.24
2018/10/26 0:00,1.305,1.331,156.6
2018/10/29 0:00,1.292,1.318,155.04
2018/10/30 0:00,1.301,1.327,156.12
2018/10/31 0:00,1.315,1.341,157.8
2018/11/1 0:00,1.321,1.347,158.52
2018/11/2 0:00,1.344,1.37,161.28
