date,net,sum,price
2018/2/22 0:00,1.2689,1.2689,63.445
2018/2/23 0:00,1.2692,1.2692,63.46
2018/2/26 0:00,1.2699,1.2699,63.495
2018/2/27 0:00,1.2699,1.2699,63.495
2018/2/28 0:00,1.2714,1.2714,63.57
2018/3/1 0:00,1.2717,1.2717,63.585
2018/3/2 0:00,1.2714,1.2714,63.57
2018/3/5 0:00,1.2715,1.2715,63.575
2018/3/6 0:00,1.2721,1.2721,63.605
2018/3/7 0:00,1.2724,1.2724,63.62
2018/3/8 0:00,1.2725,1.2725,63.625
2018/3/9 0:00,1.2726,1.2726,63.63
2018/3/12 0:00,1.2731,1.2731,63.655
2018/3/13 0:00,1.2731,1.2731,63.655
2018/3/14 0:00,1.2731,1.2731,63.655
2018/3/15 0:00,1.2733,1.2733,63.665
2018/3/16 0:00,1.2735,1.2735,63.675
2018/3/19 0:00,1.2739,1.2739,63.695
2018/3/20 0:00,1.2743,1.2743,63.715
2018/3/21 0:00,1.2746,1.2746,63.73
2018/3/22 0:00,1.2753,1.2753,63.765
2018/3/23 0:00,1.2781,1.2781,63.905
2018/3/26 0:00,1.2788,1.2788,63.94
2018/3/27 0:00,1.2784,1.2784,63.92
2018/3/28 0:00,1.279,1.279,63.95
2018/3/29 0:00,1.2794,1.2794,63.97
2018/3/30 0:00,1.2797,1.2797,63.985
2018/4/2 0:00,1.2804,1.2804,64.02
2018/4/3 0:00,1.281,1.281,64.05
2018/4/4 0:00,1.2816,1.2816,64.08
2018/4/9 0:00,1.283,1.283,64.15
2018/4/10 0:00,1.2835,1.2835,64.175
2018/4/11 0:00,1.2838,1.2838,64.19
2018/4/12 0:00,1.284,1.284,64.2
2018/4/13 0:00,1.2841,1.2841,64.205
2018/4/16 0:00,1.2846,1.2846,64.23
2018/4/17 0:00,1.2847,1.2847,64.235
2018/4/18 0:00,1.2862,1.2862,64.31
2018/4/19 0:00,1.2862,1.2862,64.31
2018/4/20 0:00,1.286,1.286,64.3
2018/4/23 0:00,1.2858,1.2858,64.29
2018/4/24 0:00,1.2856,1.2856,64.28
2018/4/25 0:00,1.2857,1.2857,64.285
2018/4/26 0:00,1.2856,1.2856,64.28
2018/4/27 0:00,1.2854,1.2854,64.27
2018/5/2 0:00,1.286,1.286,64.3
2018/5/3 0:00,1.2863,1.2863,64.315
2018/5/4 0:00,1.2864,1.2864,64.32
2018/5/7 0:00,1.2869,1.2869,64.345
2018/5/8 0:00,1.2871,1.2871,64.355
2018/5/9 0:00,1.2871,1.2871,64.355
2018/5/10 0:00,1.2871,1.2871,64.355
2018/5/11 0:00,1.2872,1.2872,64.36
2018/5/14 0:00,1.2874,1.2874,64.37
2018/5/15 0:00,1.2874,1.2874,64.37
2018/5/16 0:00,1.2873,1.2873,64.365
2018/5/17 0:00,1.2875,1.2875,64.375
2018/5/18 0:00,1.2878,1.2878,64.39
2018/5/21 0:00,1.2882,1.2882,64.41
2018/5/22 0:00,1.2883,1.2883,64.415
2018/5/23 0:00,1.2884,1.2884,64.42
2018/5/24 0:00,1.2886,1.2886,64.43
2018/5/25 0:00,1.2886,1.2886,64.43
2018/5/28 0:00,1.2887,1.2887,64.435
2018/5/29 0:00,1.2886,1.2886,64.43
2018/5/30 0:00,1.2886,1.2886,64.43
2018/5/31 0:00,1.2888,1.2888,64.44
2018/6/1 0:00,1.2889,1.2889,64.445
2018/6/4 0:00,1.2893,1.2893,64.465
2018/6/5 0:00,1.2891,1.2891,64.455
2018/6/6 0:00,1.289,1.289,64.45
2018/6/7 0:00,1.2895,1.2895,64.475
2018/6/8 0:00,1.2895,1.2895,64.475
2018/6/11 0:00,1.2898,1.2898,64.49
2018/6/12 0:00,1.2899,1.2899,64.495
2018/6/13 0:00,1.2899,1.2899,64.495
2018/6/14 0:00,1.29,1.29,64.5
2018/6/15 0:00,1.2901,1.2901,64.505
2018/6/19 0:00,1.2905,1.2905,64.525
2018/6/20 0:00,1.2906,1.2906,64.53
2018/6/21 0:00,1.2907,1.2907,64.535
2018/6/22 0:00,1.2909,1.2909,64.545
2018/6/25 0:00,1.2913,1.2913,64.565
2018/6/26 0:00,1.235,1.29,61.75
2018/6/27 0:00,1.2351,1.2901,61.755
2018/6/28 0:00,1.2372,1.2922,61.86
2018/6/29 0:00,1.2377,1.2927,61.885
2018/7/2 0:00,1.2385,1.2935,61.925
2018/7/3 0:00,1.239,1.294,61.95
2018/7/4 0:00,1.2395,1.2945,61.975
2018/7/5 0:00,1.2401,1.2951,62.005
2018/7/6 0:00,1.2405,1.2955,62.025
2018/7/9 0:00,1.2407,1.2957,62.035
2018/7/10 0:00,1.2407,1.2957,62.035
2018/7/12 0:00,1.2406,1.2956,62.03
2018/7/13 0:00,1.2406,1.2956,62.03
2018/7/16 0:00,1.2407,1.2957,62.035
2018/7/17 0:00,1.2408,1.2958,62.04
2018/7/18 0:00,1.2412,1.2962,62.06
2018/7/19 0:00,1.2416,1.2966,62.08
2018/7/20 0:00,1.242,1.297,62.1
2018/7/23 0:00,1.2427,1.2977,62.135
2018/7/24 0:00,1.2432,1.2982,62.16
2018/7/25 0:00,1.2434,1.2984,62.17
2018/7/26 0:00,1.244,1.299,62.2
2018/7/27 0:00,1.2443,1.2993,62.215
2018/7/30 0:00,1.245,1.3,62.25
2018/7/31 0:00,1.2455,1.3005,62.275
2018/8/1 0:00,1.246,1.301,62.3
2018/8/2 0:00,1.2465,1.3015,62.325
2018/8/3 0:00,1.2468,1.3018,62.34
2018/8/6 0:00,1.2472,1.3022,62.36
2018/8/7 0:00,1.2477,1.3027,62.385
2018/8/8 0:00,1.248,1.303,62.4
2018/8/9 0:00,1.2476,1.3026,62.38
2018/8/10 0:00,1.2473,1.3023,62.365
2018/8/13 0:00,1.2473,1.3023,62.365
2018/8/14 0:00,1.2471,1.3021,62.355
2018/8/15 0:00,1.2473,1.3023,62.365
