date,net,sum,price
2018/2/22 0:00,3.429,3.429,154.305
2018/2/23 0:00,3.43,3.43,154.35
2018/2/26 0:00,3.486,3.486,156.87
2018/2/27 0:00,3.435,3.435,154.575
2018/2/28 0:00,3.436,3.436,154.62
2018/3/1 0:00,3.473,3.473,156.285
2018/3/2 0:00,3.449,3.449,155.205
2018/3/5 0:00,3.433,3.433,154.485
2018/3/6 0:00,3.467,3.467,156.015
2018/3/7 0:00,3.434,3.434,154.53
2018/3/8 0:00,3.488,3.488,156.96
2018/3/9 0:00,3.532,3.532,158.94
2018/3/12 0:00,3.571,3.571,160.695
2018/3/13 0:00,3.547,3.547,159.615
2018/3/14 0:00,3.53,3.53,158.85
2018/3/15 0:00,3.537,3.537,159.165
2018/3/16 0:00,3.487,3.487,156.915
2018/3/19 0:00,3.496,3.496,157.32
2018/3/20 0:00,3.514,3.514,158.13
2018/3/21 0:00,3.476,3.476,156.42
2018/3/22 0:00,3.429,3.429,154.305
2018/3/23 0:00,3.347,3.347,150.615
2018/3/26 0:00,3.354,3.354,150.93
2018/3/27 0:00,3.381,3.381,152.145
2018/3/28 0:00,3.299,3.299,148.455
2018/3/29 0:00,3.351,3.351,150.795
2018/3/30 0:00,3.389,3.389,152.505
2018/4/2 0:00,3.376,3.376,151.92
2018/4/3 0:00,3.367,3.367,151.515
2018/4/4 0:00,3.375,3.375,151.875
2018/4/9 0:00,3.339,3.339,150.255
2018/4/10 0:00,3.395,3.395,152.775
2018/4/11 0:00,3.416,3.416,153.72
2018/4/12 0:00,3.381,3.381,152.145
2018/4/13 0:00,3.345,3.345,150.525
2018/4/16 0:00,3.302,3.302,148.59
2018/4/17 0:00,3.235,3.235,145.575
2018/4/18 0:00,3.24,3.24,145.8
2018/4/19 0:00,3.283,3.283,147.735
2018/4/20 0:00,3.234,3.234,145.53
2018/4/23 0:00,3.23,3.23,145.35
2018/4/24 0:00,3.316,3.316,149.22
2018/4/25 0:00,3.317,3.317,149.265
2018/4/26 0:00,3.256,3.256,146.52
2018/4/27 0:00,3.234,3.234,145.53
2018/5/2 0:00,3.268,3.268,147.06
2018/5/3 0:00,3.288,3.288,147.96
2018/5/4 0:00,3.29,3.29,148.05
2018/5/7 0:00,3.362,3.362,151.29
