date,net,sum,price
2018/2/22 0:00,0.759,1.109,35.673
2018/2/23 0:00,0.761,1.11,35.767
2018/2/26 0:00,0.789,1.12,37.083
2018/2/27 0:00,0.815,1.13,38.305
2018/2/28 0:00,0.817,1.13,38.399
2018/3/1 0:00,0.826,1.134,38.822
2018/3/2 0:00,0.822,1.132,38.634
2018/3/5 0:00,0.836,1.137,39.292
2018/3/6 0:00,0.846,1.141,39.762
2018/3/7 0:00,0.833,1.136,39.151
2018/3/8 0:00,0.836,1.137,39.292
2018/3/9 0:00,0.852,1.143,40.044
2018/3/12 0:00,0.863,1.147,40.561
2018/3/13 0:00,0.85,1.142,39.95
2018/3/14 0:00,0.83,1.135,39.01
2018/3/15 0:00,0.831,1.135,39.057
2018/3/16 0:00,0.825,1.133,38.775
2018/3/19 0:00,0.836,1.137,39.292
2018/3/20 0:00,0.841,1.139,39.527
2018/3/21 0:00,0.85,1.142,39.95
2018/3/22 0:00,0.846,1.141,39.762
2018/3/23 0:00,0.824,1.133,38.728
2018/3/26 0:00,0.867,1.148,40.749
2018/3/27 0:00,0.886,1.155,41.642
2018/3/28 0:00,0.877,1.152,41.219
2018/3/29 0:00,0.874,1.151,41.078
2018/3/30 0:00,0.904,1.162,42.488
2018/4/2 0:00,0.929,1.171,43.663
2018/4/3 0:00,0.92,1.168,43.24
2018/4/4 0:00,0.917,1.166,43.099
2018/4/9 0:00,0.94,1.175,44.18
2018/4/10 0:00,0.916,1.166,43.052
2018/4/11 0:00,0.915,1.166,43.005
2018/4/12 0:00,0.905,1.162,42.535
2018/4/13 0:00,0.908,1.163,42.676
2018/4/16 0:00,0.915,1.166,43.005
2018/4/17 0:00,0.9,1.16,42.3
2018/4/18 0:00,0.925,1.169,43.475
2018/4/19 0:00,0.948,1.178,44.556
2018/4/20 0:00,0.941,1.175,44.227
2018/4/23 0:00,0.896,1.159,42.112
2018/4/24 0:00,0.917,1.166,43.099
2018/4/25 0:00,0.923,1.169,43.381
2018/4/26 0:00,0.911,1.164,42.817
2018/4/27 0:00,0.895,1.159,42.065
2018/5/2 0:00,0.886,1.155,41.642
2018/5/3 0:00,0.883,1.154,41.501
2018/5/4 0:00,0.883,1.154,41.501
2018/5/7 0:00,0.89,1.157,41.83
2018/5/8 0:00,0.897,1.159,42.159
2018/5/9 0:00,0.89,1.157,41.83
2018/5/10 0:00,0.878,1.152,41.266
2018/5/11 0:00,0.871,1.15,40.937
2018/5/14 0:00,0.854,1.144,40.138
2018/5/15 0:00,0.87,1.149,40.89
2018/5/16 0:00,0.875,1.151,41.125
2018/5/17 0:00,0.864,1.147,40.608
2018/5/18 0:00,0.867,1.148,40.749
2018/5/21 0:00,0.875,1.151,41.125
