date,net,price
2018/2/22 0:00,1.0545,63.27
2018/2/23 0:00,1.0545,63.27
2018/2/26 0:00,1.0548,63.288
2018/2/27 0:00,1.055,63.3
2018/2/28 0:00,1.0551,63.306
2018/3/1 0:00,1.0552,63.312
2018/3/2 0:00,1.0553,63.318
2018/3/5 0:00,1.0556,63.336
2018/3/6 0:00,1.0558,63.348
2018/3/7 0:00,1.056,63.36
2018/3/8 0:00,1.056,63.36
2018/3/9 0:00,1.0562,63.372
2018/3/12 0:00,1.0566,63.396
2018/3/13 0:00,1.0566,63.396
2018/3/14 0:00,1.0567,63.402
2018/3/15 0:00,1.0568,63.408
2018/3/16 0:00,1.057,63.42
2018/3/19 0:00,1.0573,63.438
2018/3/20 0:00,1.0574,63.444
2018/3/21 0:00,1.0575,63.45
2018/3/22 0:00,1.0576,63.456
2018/3/23 0:00,1.0579,63.474
2018/3/26 0:00,1.0584,63.504
2018/3/27 0:00,1.0585,63.51
2018/3/28 0:00,1.0586,63.516
2018/3/29 0:00,1.0587,63.522
2018/3/30 0:00,1.0588,63.528
2018/4/2 0:00,1.0591,63.546
2018/4/3 0:00,1.0593,63.558
2018/4/4 0:00,1.0594,63.564
2018/4/9 0:00,1.0601,63.606
2018/4/10 0:00,1.0603,63.618
2018/4/11 0:00,1.0605,63.63
2018/4/12 0:00,1.0606,63.636
2018/4/13 0:00,1.0607,63.642
2018/4/16 0:00,1.0612,63.672
2018/4/17 0:00,1.0613,63.678
2018/4/18 0:00,1.0618,63.708
2018/4/19 0:00,1.0618,63.708
2018/4/20 0:00,1.0619,63.714
2018/4/23 0:00,1.0621,63.726
2018/4/24 0:00,1.0621,63.726
2018/4/25 0:00,1.0622,63.732
2018/4/26 0:00,1.0623,63.738
2018/4/27 0:00,1.0624,63.744
2018/5/2 0:00,1.0629,63.774
2018/5/3 0:00,1.063,63.78
2018/5/4 0:00,1.0631,63.786
2018/5/7 0:00,1.0634,63.804
2018/5/8 0:00,1.0635,63.81
2018/5/9 0:00,1.0635,63.81
2018/5/10 0:00,1.0636,63.816
2018/5/11 0:00,1.0636,63.816
2018/5/14 0:00,1.0639,63.834
